messages,intent
Who are you?,Greet
What's the best way to clean a refrigerator?,Negative
"Hi, are you a human or AI?",Bot Challenge
Open the landing page for Business Process Analysis.,Open Landing Page
Explain your range of features.,Ask Features
Are there any courses in chemical engineering?,Course Search
Are there any hackathons related to data science courses?,Course Search
Describe the services you provide.,Ask Features
Can you provide information about the Math and Logic Foundations course difficulty level?,Description
Can you help me find a good accountant?,Negative
Are you an automated system?,Bot Challenge
What's the best way to clean a car interior?,Negative
Which skills will I learn in the Language Learning Basics course?,Description
Are you a virtual assistant?,Bot Challenge
Can you recommend organizations offering assistance with course expenses?,Negative
Could you give me an idea of the difficulty level for Graphic Design Mastery?,Description
How can I transfer credits between courses?,Course Search
Can you tell me the current exchange rate?,Negative
"Hi, anyone available to talk?",Greet
Access the course syllabus for Financial Risk Management.,Open Landing Page
Can you provide information on international aid for educational initiatives?,Negative
How can I advocate for increased funding for public education?,Negative
Show me the details for Human Resource Management.,Open Landing Page
Are you a human chatbot or AI?,Bot Challenge
Display the course overview for Business Process Mapping.,Open Landing Page
Are there any courses in computer programming?,Course Search
"Hello, need some assistance",Greet
Access the course details for Leadership and Team Management.,Open Landing Page
What's the best way to study for exams?,Negative
Can I gift a course to someone else?,Negative
"Hello, can I get some help?",Greet
What's the best way to boost my immune system?,Negative
Search for courses in robotics.,Course Search
What name would you like me to use for this chat?,Ask Name
Can you help me find a good veterinarian?,Negative
What's the rating for Financial Modeling for Entrepreneurs?,Description
How can I participate in research projects in social sciences courses?,Course Search
Take me to the course overview for Business Research Methods.,Open Landing Page
"Hi, anyone available for help?",Greet
What tasks are you capable of performing?,Ask Features
What's the name you want to go by today?,Ask Name
What can you help with?,Ask Features
Which skills will I learn in the Spanish Language Learning course?,Description
Describe the services you excel in.,Ask Features
What's the rating for Financial Planning for Entrepreneurs?,Description
What kind of tasks are you good at?,Ask Features
"Hi, are you a real or bot?",Bot Challenge
Can I interact with other students in the course?,Negative
Can you recommend a course in automatic control?,Course Search
How can I lose weight quickly?,Negative
"I'm interested in Western philosophy, any courses available?",Course Search
Can you provide information on charitable organizations supporting education?,Negative
Search for courses in computer graphics.,Course Search
How difficult is the Health Informatics Essentials course?,Description
How do I create a meal plan?,Negative
Take me to the page for Business Information Systems.,Open Landing Page
What's the difficulty level of the Machine Learning course?,Description
Can you suggest any online resources for learning web development?,Course Search
How do I install a ceiling fan?,Negative
What's the best way to train a dog?,Negative
How do I prepare for a job interview?,Negative
"What's up, what's your name?",Ask Name
How do I change my time zone settings?,Negative
Access the course details for Brand Management.,Open Landing Page
"Hello, need some help with this",Greet
Can you help me find a good mechanic?,Negative
How’s life?,Greet
How can I track my progress in personal development courses?,Course Search
What can you do for me?,Ask Features
"Hi, anyone online?",Greet
Are you a human chatbot?,Bot Challenge
"Hi, what’s happening?",Greet
How do I cancel my gym membership?,Negative
Search for courses in language learning.,Course Search
How would you rate the Machine Learning with TensorFlow course?,Description
How can I advocate for inclusive language policies in educational settings?,Negative
Could you describe the skills covered in the Computer Science Data Mining course?,Description
Can you recommend a course in environmental science?,Course Search
"Hello, what name should I use for this conversation?",Ask Name
Can you tell me a joke?,Negative
Can you recommend resources for understanding education policy implementation challenges?,Negative
Can you help me find a doctor?,Negative
"Hi, quick chat?",Greet
Can you tell me about the skills covered in the French Language Basics course?,Description
What's the best way to handle a breakup?,Negative
How can I lose weight quickly?,Negative
Take me to the page for Financial Markets and Institutions.,Open Landing Page
Can you recommend a course in the field of physical science and engineering?,Course Search
"Hi, can I get some advice here?",Greet
How do I get rid of a cold?,Negative
How do I meditate effectively?,Negative
"Hi, are you a bot or real person?",Bot Challenge
How do I learn to paint?,Negative
How do I fix a clogged drain?,Negative
Explain your supported tasks.,Ask Features
How do I learn to play tennis?,Negative
Which skills will I learn in the Arabic Language Learning course?,Description
Can I share my account with someone else?,Negative
Display the landing page for Service Operations Management.,Open Landing Page
Take me to the course overview for Entrepreneurial Leadership.,Open Landing Page
How do I fix a broken chair?,Negative
Can you tell me the current exchange rate?,Negative
"Hello, need some assistance",Greet
How is the Personal Development Strategies course rated?,Description
"Hello, what's your name again?",Ask Name
Can you share the difficulty level of the Electrical Engineering Principles course?,Description
What skills are emphasized in the Anthropology of Social Institutions course?,Description
Describe your range of capabilities.,Ask Features
How do I create a holiday card?,Negative
What's the best way to improve public speaking skills?,Negative
What can you do?,Ask Features
Take me to the course description for Global Marketing.,Open Landing Page
What's the best way to learn to dance?,Negative
Display the landing page for Retail Business Management.,Open Landing Page
Are you an artificial intelligence?,Bot Challenge
What's the best way to clean a stove top?,Negative
Access the course details for Entrepreneurial Marketing.,Open Landing Page
Display the landing page for Entrepreneurship and Innovation.,Open Landing Page
Can you recommend a course in information technology and cybersecurity?,Course Search
How do I update my payment information?,Negative
Can I upload my own content to the platform?,Negative
Access the course syllabus for Business Law and Ethics.,Open Landing Page
Are there any courses in child psychology?,Course Search
Can you provide information on your capabilities?,Ask Features
How can I advocate for equitable funding distribution in education?,Negative
What's the best way to recycle?,Negative
Are there any industry partnerships for data science courses?,Course Search
How do I plan a birthday party?,Negative
How difficult is the 3D Animation Fundamentals course?,Description
"Hey, need to talk to someone",Greet
Is this a real conversation?,Bot Challenge
What are your areas of expertise?,Ask Features
How do I start an online store?,Negative
What's the difficulty level of the SQL Database Essentials course?,Description
Display the course overview for Innovation Management.,Open Landing Page
Can I save courses for offline viewing?,Negative
What policies are in place to address educational disparities in rural areas?,Negative
Detail your range of tasks.,Ask Features
How do I create a workout plan?,Negative
Can I get a transcript of my completed courses?,Negative
Can you recommend a good book to read?,Negative
How do I make a compost bin?,Negative
"Hi, are you real?",Bot Challenge
Are there any crowdfunding platforms specifically for educational purposes?,Negative
Can you suggest a course in cognitive psychology?,Course Search
Search for courses in data analysis.,Course Search
Long time no see,Greet
What's the difficulty level of the Information Technology Cloud Computing course?,Description
"Hi, anyone free?",Greet
Display the landing page for Financial Management for Entrepreneurs.,Open Landing Page
Are there any courses in language learning?,Course Search
What's the rating for the Business Communication Skills course?,Description
Search for courses in media culture.,Course Search
Display the course overview for Managerial Leadership.,Open Landing Page
How do I start a blog?,Negative
"Hi, how’s it going today?",Greet
Are you a real digital assistant?,Bot Challenge
What's the difficulty level of the Information Technology IT Project Management course?,Description
How do I get rid of pests in my house?,Negative
Can you help me find a good podcast?,Negative
Search for courses in mobile app development.,Course Search
I'm looking for a job.,Negative
What happens if I fail a course?,Negative
Hello there,Greet
Provide details on your supported tasks.,Ask Features
What skills will I learn in the Influencer Marketing Strategy course?,Description
How do I make homemade bread?,Negative
What initiatives exist for promoting cultural competency in education?,Negative
What's the best way to learn to bake?,Negative
What's the rating for the Artificial Intelligence Essentials course?,Description
How do I make a birthday cake?,Negative
How do I access the platform's blog?,Negative
Can you provide information about the Math and Logic Mathematical Modeling course difficulty level?,Description
Are there any courses in social sciences?,Course Search
"Hi, how’s everything?",Greet
Are there any grant programs specifically for supporting bilingual education?,Negative
Take me to the page for Managerial Decision Making and Leadership.,Open Landing Page
What's the best way to clean a showerhead?,Negative
How do I create a playlist on Spotify?,Negative
Can you help me plan a charity event?,Negative
Are you an intelligent agent?,Bot Challenge
Howdy,Greet
Access the course details for Managerial Accounting and Analysis.,Open Landing Page
Search for courses in culture and society.,Course Search
Is this an automated assistant?,Bot Challenge
Can you help me find a new hobby?,Negative
Could you give me an idea of the difficulty level for Front-End Web Development Mastery?,Description
How is the Python for Data Science course rated?,Description
Can you recommend a good travel blog?,Negative
Can you help me find a good moving company?,Negative
What skills are emphasized in the Sociology of Social Change course?,Description
Can you recommend a good financial advisor?,Negative
"Hey, can we chat?",Greet
Are the courses self-paced or scheduled?,Negative
What's the difficulty level of the Android Game Development Fundamentals course?,Description
"Hello, what should I call you?",Ask Name
"Hey, need some advice",Greet
Can you share the rating for Social Media Marketing Mastery?,Description
"Hi, need some guidance on this issue",Greet
How difficult is the Data Science for Marketing Analytics course?,Description
Access the course syllabus for Strategic Leadership.,Open Landing Page
Are there any cultural festivals related to arts and humanities courses?,Course Search
How do I earn a certificate for a course?,Negative
"Hey, how’s it going?",Greet
Access the course syllabus for Global Business Strategy.,Open Landing Page
Can you provide details about the difficulty level of the Math and Logic Logical Reasoning course?,Description
What is the platform's policy on academic honesty?,Negative
How do I report a bug on the platform?,Negative
Which skills are emphasized in Financial Accounting Fundamentals?,Description
How do I update my LinkedIn profile?,Negative
"Hi, got a minute to help?",Greet
How do I set up a study group?,Negative
Search for courses in data science.,Course Search
How do I enable notifications for course updates?,Negative
"Hi, are you a chatbot or real?",Bot Challenge
Bonjour,Greet
How do I make a YouTube video?,Negative
What is the privacy policy of this platform?,Negative
Good morning,Greet
"I want to find a course in business, do you have any suggestions?",Course Search
Can you recommend resources for understanding educational policy implementation?,Negative
What's the difficulty level of the Information Technology Web Development course?,Description
What skills are emphasized in the Sociology of Social Inequality course?,Description
Can you help me find my lost phone?,Negative
"Good evening, what's your name?",Ask Name
How can I support educational charities through volunteer work?,Negative
Do you mind telling me your name?,Ask Name
"Hello, what's the name you're using currently?",Ask Name
Open the page for Managerial Economics and Strategy.,Open Landing Page
Can you recommend any online communities for information technology enthusiasts?,Course Search
How do I apply for a mortgage?,Negative
"Hey, what’s going on?",Greet
"Hello, anyone online to help?",Greet
Tell me about your functions.,Ask Features
How do I support educational initiatives through cross-sector collaboration?,Negative
"Hello, what name are you using for this interaction?",Ask Name
What payment methods are accepted?,Negative
Display the landing page for Business Process Outsourcing.,Open Landing Page
Can you help me find a good cleaning service?,Negative
Are there any courses in business analytics?,Course Search
Take me to the course overview for Business Process Management Framework.,Open Landing Page
Can you recommend a good travel agency?,Negative
What are the policies regarding educational support for students experiencing homelessness?,Negative
What's the best way to clean hardwood floors?,Negative
What's your name?,Ask Name
Display the course overview for Business Forecasting.,Open Landing Page
Nice to meet you,Greet
"Hi, can you help?",Greet
How do I set up a home Wi-Fi network?,Negative
Are there any internships available for students in physical science and engineering courses?,Course Search
Can you recommend a course in healthcare?,Course Search
